teacher_name,env,n_iters,mean,std,n_eval_episodes
cs285/teachers/envQbertNoFrameskip-v4_20211206-021759_n_iters2000000.zip,QbertNoFrameskip-v4,2000000,750.0,0.0,10
cs285/teachers/envPongNoFrameskip-v4_20211206-021704_n_iters5000000.zip,PongNoFrameskip-v4,5000000,20.0,0.0,10
cs285/teachers/envFreewayNoFrameskip-v0_20211206-212931_n_iters15000.zip,FreewayNoFrameskip-v0,15000,0.0,0.0,10
cs285/teachers/envFreewayNoFrameskip-v0_20211206-210725_n_iters10000.zip,FreewayNoFrameskip-v0,10000,0.0,0.0,10
cs285/teachers/envFreewayNoFrameskip-v0_20211206-205357_n_iters100000.zip,FreewayNoFrameskip-v0,100000,0.0,0.0,10
cs285/teachers/envBeamRiderNoFrameskip-v4_20211206-021605_n_iters1000000.zip,BeamRiderNoFrameskip-v4,1000000,790.4,271.9011585116915,10
cs285/teachers/envFreewayNoFrameskip-v0_20211206-210725_n_iters300000.zip,FreewayNoFrameskip-v0,300000,22.0,1.61245154965971,10
cs285/teachers/envMsPacmanNoFrameskip-v4_20211206-021910_n_iters1000000.zip,MsPacmanNoFrameskip-v4,1000000,210.0,0.0,10
cs285/teachers/envPongNoFrameskip-v4_20211206-021704_n_iters20000000.zip,PongNoFrameskip-v4,20000000,21.0,0.0,10
cs285/teachers/envMsPacmanNoFrameskip-v4_20211206-021910_n_iters100000.zip,MsPacmanNoFrameskip-v4,100000,210.0,0.0,10
cs285/teachers/envFreewayNoFrameskip-v0_20211206-204642_n_iters100000.zip,FreewayNoFrameskip-v0,100000,0.0,0.0,10
cs285/teachers/envFreewayNoFrameskip-v0_20211206-210725_n_iters50000.zip,FreewayNoFrameskip-v0,50000,20.8,1.0770329614269007,10
cs285/teachers/envBowlingNoFrameskip-v4_20211206-021633_n_iters20000000.zip,BowlingNoFrameskip-v4,20000000,52.0,0.0,10
cs285/teachers/envQbertNoFrameskip-v4_20211206-021759_n_iters500000.zip,QbertNoFrameskip-v4,500000,125.0,0.0,10
cs285/teachers/envBowlingNoFrameskip-v4_20211206-021633_n_iters200000.zip,BowlingNoFrameskip-v4,200000,0.0,0.0,10
cs285/teachers/envQbertNoFrameskip-v4_20211206-021759_n_iters200000.zip,QbertNoFrameskip-v4,200000,150.0,0.0,10
