teacher_name,env,n_iters,mean,std,n_eval_episodes,use
src/teachers/envPongNoFrameskip-v4_20211206-021704_n_iters200000.zip,PongNoFrameskip-v4,200000,-21,0,10,
src/teachers/envPongNoFrameskip-v4_20211206-021704_n_iters2000000.zip,PongNoFrameskip-v4,2000000,6.4,9.07964757,10,TRUE
src/teachers/envPongNoFrameskip-v4_20211206-021704_n_iters20000000.zip,PongNoFrameskip-v4,20000000,21,0,10,
src/teachers/envPongNoFrameskip-v4_20211206-021704_n_iters40000000.zip,PongNoFrameskip-v4,40000000,21,0,10,TRUE
src/teachers/envPongNoFrameskip-v4_20211206-021704_n_iters500000.zip,PongNoFrameskip-v4,500000,-21,0,10,
src/teachers/envPongNoFrameskip-v4_20211206-021704_n_iters5000000.zip,PongNoFrameskip-v4,5000000,20,0,10,
src/teachers/envQbertNoFrameskip-v4_20211206-021759_n_iters100000.zip,QbertNoFrameskip-v4,100000,150,0,10,
src/teachers/envQbertNoFrameskip-v4_20211206-021759_n_iters1000000.zip,QbertNoFrameskip-v4,1000000,607.5,80.66132902,10,TRUE
src/teachers/envQbertNoFrameskip-v4_20211206-021759_n_iters10000000.zip,QbertNoFrameskip-v4,10000000,5582.5,1664.971847,10,TRUE
src/teachers/envQbertNoFrameskip-v4_20211206-021759_n_iters200000.zip,QbertNoFrameskip-v4,200000,150,0,10,
src/teachers/envQbertNoFrameskip-v4_20211206-021759_n_iters2000000.zip,QbertNoFrameskip-v4,2000000,750,0,10,
src/teachers/envQbertNoFrameskip-v4_20211206-021759_n_iters20000000.zip,QbertNoFrameskip-v4,20000000,14235,5032.981224,10,
src/teachers/envQbertNoFrameskip-v4_20211206-021759_n_iters40000000.zip,QbertNoFrameskip-v4,40000000,16312.5,237.5,10,TRUE
src/teachers/envQbertNoFrameskip-v4_20211206-021759_n_iters500000.zip,QbertNoFrameskip-v4,500000,125,0,10,
src/teachers/envQbertNoFrameskip-v4_20211206-021759_n_iters5000000.zip,QbertNoFrameskip-v4,5000000,4195,15,10,
src/teachers/envUpNDownNoFrameskip-v4_20211206-021938_n_iters100000.zip,UpNDownNoFrameskip-v4,100000,20,0,10,
src/teachers/envUpNDownNoFrameskip-v4_20211206-021938_n_iters1000000.zip,UpNDownNoFrameskip-v4,1000000,550,0,10,
src/teachers/envUpNDownNoFrameskip-v4_20211206-021938_n_iters10000000.zip,UpNDownNoFrameskip-v4,10000000,17986,5410.774806,10,
src/teachers/envUpNDownNoFrameskip-v4_20211206-021938_n_iters200000.zip,UpNDownNoFrameskip-v4,200000,20,0,10,
src/teachers/envUpNDownNoFrameskip-v4_20211206-021938_n_iters2000000.zip,UpNDownNoFrameskip-v4,2000000,7712,5185.348204,10,
src/teachers/envUpNDownNoFrameskip-v4_20211206-021938_n_iters20000000.zip,UpNDownNoFrameskip-v4,20000000,877796,50588.85079,10,TRUE
src/teachers/envUpNDownNoFrameskip-v4_20211206-021938_n_iters40000000.zip,UpNDownNoFrameskip-v4,40000000,383208,85167.74634,10,TRUE
src/teachers/envUpNDownNoFrameskip-v4_20211206-021938_n_iters500000.zip,UpNDownNoFrameskip-v4,500000,550,0,10,TRUE
src/teachers/envUpNDownNoFrameskip-v4_20211206-021938_n_iters5000000.zip,UpNDownNoFrameskip-v4,5000000,265448,103053.6735,10,
